"GL_CODE","GL_DESC"
"2923200A5","IMMEUBLES NON LOUÉS"
"2924000A4","IMMEUBLES ACQUIS PAR ADJUDICATION"
"2926000A4","MAT ET MOB EN LOCATION SIMPLE"
"2927000A4","MAT MOB EN CRD-BAIL LOC AV OPTI ACH"
"2927200A5","MATÉRIEL ET MOBILIER NON LOUÉS"
"2928000A4","MAT MOB ACQUIS EN REAL DE GTIES"
"2929000A4","AUTRES IMMOBILISATIONS CORPORELLES"
"2930000A3","AUT IMMOBILISATIONS CORPOR EN COURS"
"2931000A4","IMMEUBLE D EXPLOITATION"
"2932000A4","IMMEUBLE EN LOCATION SIMPLE"
"2933000A4","IMMEUBLE DESTINE AU CREDIT BAIL OU A LA LOCATION AVEC OPTION D ACHAT"
"2935000A4","MATERIEL ET MOBILIER D EXPLOITATION"
"2936000A4","MATERIEL ET MOBILIER EN LOCATION SIMPLE"
"2937000A4","MATERIEL ET MOBILIER DESTINE AU CREDIT BAIL OU A LA LOCATION AVEC OPTION D ACHAT"
"2939000A4","AUTRES IMMOBILISATIONS CORPORELLES"
"2940000A3","AVES ET ACPTES COM D IMMOB"
"2941000A4","IMMEUBLE D EXPLOITATION"
"2942000A4","IMMEUBLE EN LOCATION SIMPLE"
"2943000A4","IMMEUBLE DESTINE AU CREDIT BAIL OU A LA LOCATION AVEC OPTION D ACHAT"
"2945000A4","MATERIEL ET MOBILIER D EXPLOITATION"
"2946000A4","MATERIEL ET MOBILIER EN LOCATION SIMPLE"
"2947000A4","MATERIEL ET MOBILIER DESTINE AU CREDIT BAIL OU A LA LOCATION AVEC OPTION D ACHAT"
"2950000A3","DEPOTS ET CAUTIONNEMENTS"
"2960000A3","TITRE DE PARTICIPATION  IMMO"
"2961000A4","DOTATIONS DE SUCCURSALES À L’ÉTRANGER "
"2962000A4","ACTIONS ET PARTS D’ÉTABLISSEMENTS DE  CRÉDIT"
"2963000A4","AUTRES TITRES DE PARTICIPATION "
"2965000A4","TITRES D’INVESTISSEMENT "
"2965100A5","TITRES D’INVESTISSEMENT PRIVÉS"
"2965110A6","TITRES D’INVESTISSEMENT PRIVÉS ADMIS EN GARANTIE DES REFINANCEMENTS DE LA BEAC "
"2965111A7","TITRES D INVESTISSEMENTS PRIVES NANTIS BEAC"
"2965120A6","AUTRES TITRES D’INVESTISSEMENT PRIVÉS "
"2965121A7","AUTRES TITRES D INVESTISSEMENTS PRIVES"
"2965200A5","TITRES D’INVESTISSEMENT PUBLICS"
"2965210A6","TITRES D’INVESTISSEMENT PUBLICS ADMIS"
"2965211A7","TITRES D INVESTISSEMENTS PUBLIC NANTIS BEAC"
"2965220A6","AUTRES TITRES D’INVESTISSEMENT PUBLICS"
"2965221A7","AUTRES TITRES D INVESTISSEMENTS PUBLIC"
"2966000A4","TITRES EN SOUFFRANCE "
"2966100A5","TITRES IMPAYES"
"2966200A5","TITRES DOUTEUX"
"2967000A4","PROV AVANCES CONSTITUANT DES FONDS PROPRES"
"2967100A5","PROV AVANCES CONSTITUANT DES FONDS PROPRES ETS CREDIT CEMAC"
"2967200A5","PROV AUTRES AVANCES EN COMPTE COURANTS"
"2970000A3","PRETS ET TITRES À SOUSCRIP OBLIGAT"
"2972000A4","CRÉANCES TITRISÉES SUR L’ETAT"
"2972100A5","CREANCES SECURISEES SUR L'ETAT"
"2972200A5","CREANCES SUR L'ETAT"
"2973000A4","AUTRES PRET ET TITRES A SOUSCR OBLIGATOIRE"
"2976000A4","PRETS ET TITRES IMPAYES"
"3000000A2","COMPTE D OPS AVEC LA CLIENTLE"
"3010000A3","CRÉDITS À LONG TERME SAINS"
"3011000A4","CREDITS A L'INVESTISSEMENT IMMOBILIER LT"
"3012000A4","CREDITS A L'HABITAT LT"
"3013000A4","CREDITS A L'EQUIPEMENT LT"
